Year,Term,Subject,Catalog,Descr,Primary Instructor Name,Max Units,Long Title,Description,Requisite
2019,Fall,EMBA, 901,Strategic Management,"Madsen,Tammy",4,Strategic Management,"Strategy is inherently dynamic. This course focuses on the processes by which managers position their businesses to create and sustain an advantage relative to rivals in the face of uncertainty, rapid change, and competition. Strategy involves understanding the utility of different choices and tradeoffs -- choosing what not to do is as important as choosing what to do. As a result, the course will expose you to frameworks and concepts for analyzing a firm's environment and competitive position to inform the strategic decision making process. By uncovering the factors that make some strategic positions strong and viable, we shall develop the ability to evaluate the effects of changes in resources & capabilities, industry forces, macro-environmental forces, and technology on industry structure and firm behavior and, in turn, on a firm's opportunities for creating, capturing and sustaining superior profits relative to rivals.",
2019,Fall,EMBA, 901,Strategic Management,"Madsen,Tammy",4,Strategic Management,"Strategy is inherently dynamic. This course focuses on the processes by which managers position their businesses to create and sustain an advantage relative to rivals in the face of uncertainty, rapid change, and competition. Strategy involves understanding the utility of different choices and tradeoffs -- choosing what not to do is as important as choosing what to do. As a result, the course will expose you to frameworks and concepts for analyzing a firm's environment and competitive position to inform the strategic decision making process. By uncovering the factors that make some strategic positions strong and viable, we shall develop the ability to evaluate the effects of changes in resources & capabilities, industry forces, macro-environmental forces, and technology on industry structure and firm behavior and, in turn, on a firm's opportunities for creating, capturing and sustaining superior profits relative to rivals.",
2019,Fall,EMBA, 901,Strategic Management,"Madsen,Tammy",4,Strategic Management,"Strategy is inherently dynamic. This course focuses on the processes by which managers position their businesses to create and sustain an advantage relative to rivals in the face of uncertainty, rapid change, and competition. Strategy involves understanding the utility of different choices and tradeoffs -- choosing what not to do is as important as choosing what to do. As a result, the course will expose you to frameworks and concepts for analyzing a firm's environment and competitive position to inform the strategic decision making process. By uncovering the factors that make some strategic positions strong and viable, we shall develop the ability to evaluate the effects of changes in resources & capabilities, industry forces, macro-environmental forces, and technology on industry structure and firm behavior and, in turn, on a firm's opportunities for creating, capturing and sustaining superior profits relative to rivals.",
2019,Fall,EMBA, 901,Strategic Management,"Madsen,Tammy",4,Strategic Management,"Strategy is inherently dynamic. This course focuses on the processes by which managers position their businesses to create and sustain an advantage relative to rivals in the face of uncertainty, rapid change, and competition. Strategy involves understanding the utility of different choices and tradeoffs -- choosing what not to do is as important as choosing what to do. As a result, the course will expose you to frameworks and concepts for analyzing a firm's environment and competitive position to inform the strategic decision making process. By uncovering the factors that make some strategic positions strong and viable, we shall develop the ability to evaluate the effects of changes in resources & capabilities, industry forces, macro-environmental forces, and technology on industry structure and firm behavior and, in turn, on a firm's opportunities for creating, capturing and sustaining superior profits relative to rivals.",
2019,Fall,EMBA, 901,Strategic Management,"Madsen,Tammy",4,Strategic Management,"Strategy is inherently dynamic. This course focuses on the processes by which managers position their businesses to create and sustain an advantage relative to rivals in the face of uncertainty, rapid change, and competition. Strategy involves understanding the utility of different choices and tradeoffs -- choosing what not to do is as important as choosing what to do. As a result, the course will expose you to frameworks and concepts for analyzing a firm's environment and competitive position to inform the strategic decision making process. By uncovering the factors that make some strategic positions strong and viable, we shall develop the ability to evaluate the effects of changes in resources & capabilities, industry forces, macro-environmental forces, and technology on industry structure and firm behavior and, in turn, on a firm's opportunities for creating, capturing and sustaining superior profits relative to rivals.",
2019,Fall,EMBA, 901,Strategic Management,"Madsen,Tammy",4,Strategic Management,"Strategy is inherently dynamic. This course focuses on the processes by which managers position their businesses to create and sustain an advantage relative to rivals in the face of uncertainty, rapid change, and competition. Strategy involves understanding the utility of different choices and tradeoffs -- choosing what not to do is as important as choosing what to do. As a result, the course will expose you to frameworks and concepts for analyzing a firm's environment and competitive position to inform the strategic decision making process. By uncovering the factors that make some strategic positions strong and viable, we shall develop the ability to evaluate the effects of changes in resources & capabilities, industry forces, macro-environmental forces, and technology on industry structure and firm behavior and, in turn, on a firm's opportunities for creating, capturing and sustaining superior profits relative to rivals.",
2019,Fall,EMBA, 902,Managing Organizations & Teams,"Zeitlin,Jo-Ellen Pozner",3,Navigating Busn Environ,,
2019,Fall,EMBA, 902,Managing Organizations & Teams,"Zeitlin,Jo-Ellen Pozner",3,Navigating Busn Environ,,
2019,Fall,EMBA, 902,Managing Organizations & Teams,"Zeitlin,Jo-Ellen Pozner",3,Navigating Busn Environ,,
2019,Fall,EMBA, 903,Analytics,"Tsay,Andy A",6,Understanding Value,Focus on shareholder value.  Long term profit maximization as the unifying thread.  Investment decisions examined from various perspectives.,
2019,Fall,EMBA, 903,Analytics,"Tsay,Andy A",6,Understanding Value,Focus on shareholder value.  Long term profit maximization as the unifying thread.  Investment decisions examined from various perspectives.,
2019,Fall,EMBA, 903,Analytics,"Tsay,Andy A",6,Understanding Value,Focus on shareholder value.  Long term profit maximization as the unifying thread.  Investment decisions examined from various perspectives.,
2019,Fall,EMBA, 903,Analytics,"Tsay,Andy A",6,Understanding Value,Focus on shareholder value.  Long term profit maximization as the unifying thread.  Investment decisions examined from various perspectives.,
2019,Fall,EMBA, 903,Analytics,"Tsay,Andy A",6,Understanding Value,Focus on shareholder value.  Long term profit maximization as the unifying thread.  Investment decisions examined from various perspectives.,
2019,Fall,EMBA, 903,Analytics,"Tsay,Andy A",6,Understanding Value,Focus on shareholder value.  Long term profit maximization as the unifying thread.  Investment decisions examined from various perspectives.,
2019,Fall,EMBA, 907,Managing Innovation and Change,"Griffith,Terri L",6,Creativity for Innovative Business,"Creativity is one of the most important skills needed for tomorrow's workforce. It is necessary for effective problem solving, developing successful strategies, and driving innovation. Organizations must be creative and innovative to survive. This experiential course will explore creativity in the business context and the implications for individuals. We will focus on exercises and activities designed to enhance creativity of managers so that can they can use non-obvious techniques to break down business problems and craft new and innovative solutions. Students will learn about and apply creative thinking tools, explore and develop their own creative processes, and collaborate in team creative problem solving.",
2019,Fall,EMBA, 907,Managing Innovation and Change,"Griffith,Terri L",6,Creativity for Innovative Business,"Creativity is one of the most important skills needed for tomorrow's workforce. It is necessary for effective problem solving, developing successful strategies, and driving innovation. Organizations must be creative and innovative to survive. This experiential course will explore creativity in the business context and the implications for individuals. We will focus on exercises and activities designed to enhance creativity of managers so that can they can use non-obvious techniques to break down business problems and craft new and innovative solutions. Students will learn about and apply creative thinking tools, explore and develop their own creative processes, and collaborate in team creative problem solving.",
2019,Fall,EMBA, 907,Managing Innovation and Change,"Griffith,Terri L",6,Creativity for Innovative Business,"Creativity is one of the most important skills needed for tomorrow's workforce. It is necessary for effective problem solving, developing successful strategies, and driving innovation. Organizations must be creative and innovative to survive. This experiential course will explore creativity in the business context and the implications for individuals. We will focus on exercises and activities designed to enhance creativity of managers so that can they can use non-obvious techniques to break down business problems and craft new and innovative solutions. Students will learn about and apply creative thinking tools, explore and develop their own creative processes, and collaborate in team creative problem solving.",
2019,Fall,EMBA, 907,Managing Innovation and Change,"Griffith,Terri L",6,Creativity for Innovative Business,"Creativity is one of the most important skills needed for tomorrow's workforce. It is necessary for effective problem solving, developing successful strategies, and driving innovation. Organizations must be creative and innovative to survive. This experiential course will explore creativity in the business context and the implications for individuals. We will focus on exercises and activities designed to enhance creativity of managers so that can they can use non-obvious techniques to break down business problems and craft new and innovative solutions. Students will learn about and apply creative thinking tools, explore and develop their own creative processes, and collaborate in team creative problem solving.",
2019,Fall,EMBA, 907,Managing Innovation and Change,"Griffith,Terri L",6,Creativity for Innovative Business,"Creativity is one of the most important skills needed for tomorrow's workforce. It is necessary for effective problem solving, developing successful strategies, and driving innovation. Organizations must be creative and innovative to survive. This experiential course will explore creativity in the business context and the implications for individuals. We will focus on exercises and activities designed to enhance creativity of managers so that can they can use non-obvious techniques to break down business problems and craft new and innovative solutions. Students will learn about and apply creative thinking tools, explore and develop their own creative processes, and collaborate in team creative problem solving.",
2019,Fall,EMBA, 907,Managing Innovation and Change,"Griffith,Terri L",6,Creativity for Innovative Business,"Creativity is one of the most important skills needed for tomorrow's workforce. It is necessary for effective problem solving, developing successful strategies, and driving innovation. Organizations must be creative and innovative to survive. This experiential course will explore creativity in the business context and the implications for individuals. We will focus on exercises and activities designed to enhance creativity of managers so that can they can use non-obvious techniques to break down business problems and craft new and innovative solutions. Students will learn about and apply creative thinking tools, explore and develop their own creative processes, and collaborate in team creative problem solving.",
2019,Fall,EMBA, 907,Managing Innovation and Change,"Griffith,Terri L",6,Creativity for Innovative Business,"Creativity is one of the most important skills needed for tomorrow's workforce. It is necessary for effective problem solving, developing successful strategies, and driving innovation. Organizations must be creative and innovative to survive. This experiential course will explore creativity in the business context and the implications for individuals. We will focus on exercises and activities designed to enhance creativity of managers so that can they can use non-obvious techniques to break down business problems and craft new and innovative solutions. Students will learn about and apply creative thinking tools, explore and develop their own creative processes, and collaborate in team creative problem solving.",
2019,Fall,EMBA, 908,New Business Ventures,"Bruno,Albert V",6,Marketing Strategy,"Marketing has a rich and multifaceted role in the modern organization. It is charged with focusing on the customer, providing value and recapturing value for the firm. Strategic marketing management involves determining which customers an organization should serve by analyzing customer needs, segmenting the market selecting a target segment and then determining the 4p's (Product, Pricing, Promotion and Place) for the chosen segment. Product managers, channel leaders, sales leaders and CMOs are some of the stakeholders involved in this process. Today's marketers have an increasing amount of data available to them and the modern practice of marketing involves effectively using this data to inform decision making. This course provides information necessary for an experience executive to develop a working knowledge of marketing. Going beyond the fundamental 4P's of marketing the course also introduces the rigorous lens of the three C's---the customer, competitors and the company. The course also emphasizes data driven marketing and the idea the customers are heterogeneous in their needs.",
2019,Fall,EMBA, 908,New Business Ventures,"Bruno,Albert V",6,Marketing Strategy,"Marketing has a rich and multifaceted role in the modern organization. It is charged with focusing on the customer, providing value and recapturing value for the firm. Strategic marketing management involves determining which customers an organization should serve by analyzing customer needs, segmenting the market selecting a target segment and then determining the 4p's (Product, Pricing, Promotion and Place) for the chosen segment. Product managers, channel leaders, sales leaders and CMOs are some of the stakeholders involved in this process. Today's marketers have an increasing amount of data available to them and the modern practice of marketing involves effectively using this data to inform decision making. This course provides information necessary for an experience executive to develop a working knowledge of marketing. Going beyond the fundamental 4P's of marketing the course also introduces the rigorous lens of the three C's---the customer, competitors and the company. The course also emphasizes data driven marketing and the idea the customers are heterogeneous in their needs.",
2019,Fall,EMBA, 908,New Business Ventures,"Bruno,Albert V",6,Marketing Strategy,"Marketing has a rich and multifaceted role in the modern organization. It is charged with focusing on the customer, providing value and recapturing value for the firm. Strategic marketing management involves determining which customers an organization should serve by analyzing customer needs, segmenting the market selecting a target segment and then determining the 4p's (Product, Pricing, Promotion and Place) for the chosen segment. Product managers, channel leaders, sales leaders and CMOs are some of the stakeholders involved in this process. Today's marketers have an increasing amount of data available to them and the modern practice of marketing involves effectively using this data to inform decision making. This course provides information necessary for an experience executive to develop a working knowledge of marketing. Going beyond the fundamental 4P's of marketing the course also introduces the rigorous lens of the three C's---the customer, competitors and the company. The course also emphasizes data driven marketing and the idea the customers are heterogeneous in their needs.",
2019,Fall,EMBA, 908,New Business Ventures,"Bruno,Albert V",6,Marketing Strategy,"Marketing has a rich and multifaceted role in the modern organization. It is charged with focusing on the customer, providing value and recapturing value for the firm. Strategic marketing management involves determining which customers an organization should serve by analyzing customer needs, segmenting the market selecting a target segment and then determining the 4p's (Product, Pricing, Promotion and Place) for the chosen segment. Product managers, channel leaders, sales leaders and CMOs are some of the stakeholders involved in this process. Today's marketers have an increasing amount of data available to them and the modern practice of marketing involves effectively using this data to inform decision making. This course provides information necessary for an experience executive to develop a working knowledge of marketing. Going beyond the fundamental 4P's of marketing the course also introduces the rigorous lens of the three C's---the customer, competitors and the company. The course also emphasizes data driven marketing and the idea the customers are heterogeneous in their needs.",
2019,Fall,EMBA, 908,New Business Ventures,"Bruno,Albert V",6,Marketing Strategy,"Marketing has a rich and multifaceted role in the modern organization. It is charged with focusing on the customer, providing value and recapturing value for the firm. Strategic marketing management involves determining which customers an organization should serve by analyzing customer needs, segmenting the market selecting a target segment and then determining the 4p's (Product, Pricing, Promotion and Place) for the chosen segment. Product managers, channel leaders, sales leaders and CMOs are some of the stakeholders involved in this process. Today's marketers have an increasing amount of data available to them and the modern practice of marketing involves effectively using this data to inform decision making. This course provides information necessary for an experience executive to develop a working knowledge of marketing. Going beyond the fundamental 4P's of marketing the course also introduces the rigorous lens of the three C's---the customer, competitors and the company. The course also emphasizes data driven marketing and the idea the customers are heterogeneous in their needs.",
2019,Fall,EMBA, 908,New Business Ventures,"Bruno,Albert V",6,Marketing Strategy,"Marketing has a rich and multifaceted role in the modern organization. It is charged with focusing on the customer, providing value and recapturing value for the firm. Strategic marketing management involves determining which customers an organization should serve by analyzing customer needs, segmenting the market selecting a target segment and then determining the 4p's (Product, Pricing, Promotion and Place) for the chosen segment. Product managers, channel leaders, sales leaders and CMOs are some of the stakeholders involved in this process. Today's marketers have an increasing amount of data available to them and the modern practice of marketing involves effectively using this data to inform decision making. This course provides information necessary for an experience executive to develop a working knowledge of marketing. Going beyond the fundamental 4P's of marketing the course also introduces the rigorous lens of the three C's---the customer, competitors and the company. The course also emphasizes data driven marketing and the idea the customers are heterogeneous in their needs.",
2019,Fall,EMBA, 908,New Business Ventures,"Bruno,Albert V",6,Marketing Strategy,"Marketing has a rich and multifaceted role in the modern organization. It is charged with focusing on the customer, providing value and recapturing value for the firm. Strategic marketing management involves determining which customers an organization should serve by analyzing customer needs, segmenting the market selecting a target segment and then determining the 4p's (Product, Pricing, Promotion and Place) for the chosen segment. Product managers, channel leaders, sales leaders and CMOs are some of the stakeholders involved in this process. Today's marketers have an increasing amount of data available to them and the modern practice of marketing involves effectively using this data to inform decision making. This course provides information necessary for an experience executive to develop a working knowledge of marketing. Going beyond the fundamental 4P's of marketing the course also introduces the rigorous lens of the three C's---the customer, competitors and the company. The course also emphasizes data driven marketing and the idea the customers are heterogeneous in their needs.",
2019,Fall,FNCE,2400,Financial Forecasting & Analys,"Chacko,George",4,Financial Forecasting & Analysis,"Introduces the basic concepts and tools of finance. Reviews balance sheet and income statement categories. Emphasizes the time value of money, present value calculations, the opportunity cost of capital, valuation of simple securities, and evaluating investment opportunities in a capital budgeting system.",(MSFNCEMJ OR MSENTREPMJ)
2019,Fall,FNCE,2401,Corporate Finance,"Lou,Hong",4,Corporate Finance,"Deals with the basic and advanced concepts of corporate finance, particularly the role of the financial manager and the goal of financial management.  For this purpose, the course focuses on agency conflicts and corporate governance, capital structure, payout policy, financial distress, options (real and executive), derivatives/hedging, and international issues.",(FNCE 451 OR FNCE 3452 OR FNCE 2452 OR FNCE 854) AND (MSFNCEMJ OR MSENTREPMJ) AND NOT FNCE 3453
2019,Fall,FNCE,2402,Math for Finance & Analytics,"Pu,Ning",4,Math for Finance & Analytics,"The objective of this course is to provide a comprehensive background in the
mathematical topics required for learning Quantitative Finance (QF) and Business Analytics and Data Science (BADS). The mathematical topics covered include Calculus, Linear Algebra, and Probability Theory. Applications of these topics in a variety of business contexts will be included.",
2019,Fall,FNCE,2402,Math for Finance & Analytics,"Pu,Ning",4,Math for Finance & Analytics,"The objective of this course is to provide a comprehensive background in the
mathematical topics required for learning Quantitative Finance (QF) and Business Analytics and Data Science (BADS). The mathematical topics covered include Calculus, Linear Algebra, and Probability Theory. Applications of these topics in a variety of business contexts will be included.",
2019,Fall,FNCE,2501,Finance Principles,"Pan,Carrie Haoqing",2,Finance Principles,"Will introduce students to the cornerstone concepts underlying modern financial thinking and practice. Topics include financial analysis relating to corporate firms, securities in capital markets, asset managers and risk management.",MSBUSAMJ Academic Plan Only
2019,Fall,FNCE,2501,Finance Principles,"Pan,Carrie Haoqing",2,Finance Principles,"Will introduce students to the cornerstone concepts underlying modern financial thinking and practice. Topics include financial analysis relating to corporate firms, securities in capital markets, asset managers and risk management.",MSBUSAMJ Academic Plan Only
2019,Fall,FNCE,2502,Math for Finance & Analytics,"Pu,Ning",4,Math for Finance and Analytics,"To provide a comprehensive background in the mathematical topics required for learning Quantitative Finance (QF) and Business Analytics and Data Science (BADS). The mathematical topics covered include Calculus, Linear Algebra and Probability Theory. Applications of these topics in a variety of business contexts will be included.",MSBUSAMJ Academic Plan Only
2019,Fall,FNCE,2502,Math for Finance & Analytics,"Pu,Ning",4,Math for Finance and Analytics,"To provide a comprehensive background in the mathematical topics required for learning Quantitative Finance (QF) and Business Analytics and Data Science (BADS). The mathematical topics covered include Calculus, Linear Algebra and Probability Theory. Applications of these topics in a variety of business contexts will be included.",MSBUSAMJ Academic Plan Only
2019,Fall,FNCE,3436,Applied Time Series,"Trepanier,Daniel Pierre",3,,,
2019,Fall,FNCE,3436,Applied Time Series,"Trepanier,Daniel Pierre",3,,,
2019,Fall,FNCE,3453,Corporate Finance,"Lou,Hong",4,Corporate Finance,"Deals with the basic and advanced concepts of corporate finance, particularly the role of the financial manager and the goal of financial management.  For this purpose, the course focuses on agency conflicts and corporate governance, capital structure, payout policy, financial distress, options (real and executive), derivatives/hedging, and international issues.",(FNCE 3000 OR FNCE 3452 OR FNCE 2452 OR FNCE 451 OR FNCE 854) AND (MBAMBAMJ OR MBAJDMMJ OR MSFNCEMJ)
2019,Fall,FNCE,3484,Financial Engineering,"Kim,Seoyoung R",3,Financial Engineering,"Examines the design, valuation, and risk management of derivative securities (futures, options, etc.), including structured products. Includes topics on arbitrage theory, futures, equity options, bond options, credit derivatives, swaps, and currency derivatives. Mathematical modeling of derivatives, including implementation and applications in investments, corporate finance, and risk management.",(FNCE 455 OR FNCE 2455 OR FNCE 3455)  AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ OR MSENTREPMJ OR MSFNCEMJ)
2019,Fall,FNCE,3490,Machine Learning,"Wadhwa,Sudhir K.",4,Machine Learning,"So you want to be a Data Scientist? This course introduces participants to quantitative techniques and algorithms that are based on big data (numerical and textual) or are theoretical models of big systems or optimization that are currently being used widely in business. It introduces topics that are often qualitative but that are now amenable to quantitative treatment. The course will
prepare participants for more rigorous analysis of large data sets as well as introduce machine learning models and data analytics for business intelligence.",(ECON 3000 OR ECON 401 OR ECON 2401 OR ECON 3400) AND (MBAMBAMJ OR MBAWKENDMJ OR MBAJDMMJ OR MSFNCEMJ)
2019,Fall,FNCE,3698,Independent Study,"Chacko,George",3,Independent Study,,
2019,Fall,FNCE,3698,Independent Study,"Cai,Ye",3,Independent Study,,
2019,Fall,FNCE,3698,Independent Study,"Cai,Ye",3,Independent Study,,
2019,Fall,FNCE,3698,Independent Study,"Das,Sanjiv R",3,Independent Study,,
2019,Fall,IDIS,3052,Challenges In Communications,"McChesney Jr,Thomas Balmer",2,Challenges In Communications,"Analyzing problems, crafting solutions and implementing change have, at their heart, a need to communicate effectively with multiple audiences, both within and outside the organization.  Todays complex work environments call for understanding the interests and concerns of each audience, and balancing their needs in a way that enables the organization to move forward in the service of a common end. This course offers practice in assessing complex situations, analyzing them from varied perspectives, and developing communication strategies and plans that support effective action by leaders, teams and the organization as a whole.",IDIS 3700 AND (MGMT 3050 PRE-REQ OR CO-REQ OR MGMT 3519 PRE-REQ OR CO-REQ)AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ)
2019,Fall,IDIS,3052,Challenges In Communications,"McChesney Jr,Thomas Balmer",2,Challenges In Communications,"Analyzing problems, crafting solutions and implementing change have, at their heart, a need to communicate effectively with multiple audiences, both within and outside the organization.  Todays complex work environments call for understanding the interests and concerns of each audience, and balancing their needs in a way that enables the organization to move forward in the service of a common end. This course offers practice in assessing complex situations, analyzing them from varied perspectives, and developing communication strategies and plans that support effective action by leaders, teams and the organization as a whole.",IDIS 3700 AND (MGMT 3050 PRE-REQ OR CO-REQ OR MGMT 3519 PRE-REQ OR CO-REQ)AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ)
2019,Fall,IDIS,3698,Independent Study,"Byers,Charles F",6,Independent Study,,
2019,Fall,IDIS,3704,Women in Leadership,"Furlong,Mary",1,Women in Leadership,"Presents the best practices of successful women technology leaders. Features a series of in-depth discussions and case studies where experts share the principles upon which they have created their businesses. Includes topics on vision, value creation, branding, product development and testing, recruitment and team building, management, financing, communication skills, networking, exit strategy and social impact.",
2019,Fall,IDIS,3711,"Leadership: Vis, Deals, & Proc","Furlong,Mary",1,"Leadership: Vision, Deals, and Process","This class will present three distinct perspectives on leadership: vision, deal making, and process. Each perspective will be taught by an expert with extensive experience in that area. For each perspective, the students will gain an overview of the topic, specific skills needed to succeed in the arena, examples of business leaders who have translated ideals into action, and resources for continued learning. Prerequisite: MGMT 501.",
2019,Fall,IDIS,3797,Curricular Practicum Education,"Kadambi,Vasu",1,Curricular Practicum Education,"The primary purpose of Co-op education is to give international students an opportunity to gain practical knowledge in their field of study. This course is designed to prepare them for such an experience. It consists of a series of lectures on topics that will familiarize them with the Silicon Valley working environment, and will enable them to relate their experience in the industry to their academic program. Attendance is mandatory.",(MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ)
2019,Fall,IDIS,3798,Extended Curricular Practicum,"Kadambi,Vasu",1,Extended Curricular Practicum Education,,(MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ)
2019,Fall,IDIS,3799,Managing Transitions,"Brock,Phyllis S",1,Managing Transitions,"The course is based on critical transitions, formative experiences, and personal conflict that characterize the common challenges MBAs are likely to face as they progress in their careers. One objective is to help students gain a more robust understanding of some of the pitfalls they may encounter as they make transitions within or across organizations. Research demonstrates that career failures are often associated with individual failures to successfully make these transitions. Blending theory and practice sessions will illustrate the lessons learned by others (such as SV executives) that have sometimes stumbled in making what seem to be straightforward transitions. Why are transitions challenging? Typically transitions require learning new skills and strategies for managing people who have different responsibilities, needs, goals and expectations than the individual has led in the past. For example, the role as individual team member vs. managing a team requires a shift in mindset from getting a job done through personal skills and effort to getting work done through others; shifting from a manager to a leader requires a shift in attention from focusing on doing things right to doing the right things. Such transitions often mean letting go of the very things that have made us successful in the past and deriving satisfaction from others accomplishments. Although easy to understand conceptually, this marks a fundamental shift in individuals identities.","MBA and 30 units  (Includes test and transfer units, and units in progress)"
2019,Fall,IDIS,3800,Managing Transitions II,"Brock,Phyllis S",1,Managing Transitions II,This is the second part of  2-unit credit course series that prepares students for the career transitions that they will encounter once completing Santa Clara Universitys MBA program. This highly relevant course concentrates on the skills students require to succeed early on in their careers. These lessons learned will be applicable to transitions throughout the students careers.,IDIS 3799 AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ)
2019,Fall,IDIS,3802,Data Science Analysis w/Python,"Tan,Tzu-Chin",4,Data Science Analysis with Python,,(MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ)
