Subject,Catalog,Instructor_Name,Requisite,Long Title,Description
ECON,3436,"['Das,Sanjiv R' 'Trepanier,Daniel Pierre']",MBA and (ECON 401 OR ECON 3400),Applied Time Series Analysis,"This course focuses on economic forecasting.  Many decisions made in business, economics, finance, and government depend on the forecasts that are constantly generated in these and other disciplines.  This course will introduce the students to econometric time series models and methods that can be used to generate forecasts.  A wide range of topics will be covered, including basic concepts of time-series forecasting, trends and seasonality, ARIMA processes, and evaluation of forecasts.  Illustrative examples applying these techniques to actual data will be presented in class, and students will perform a variety of data analyses on the computer.  Upon completion of this course, students will have mastered basic properties of time-series forecasting models, and be able to skillfully select appropriate forecasting models to fit real world data sets and generate their own forecasts."
EMBA, 801,"['Tsay,Andy A']",,Quantitative Modeling,
EMBA, 802,"['Das,Sanjiv R']",,Financial Management,
EMBA, 803,"['Shin,Dongsoo']",,Managerial Economics,
EMBA, 804,"['Eames,Michael J']",,Financial Accounting,
EMBA, 805,"['Agrawal,Narendra']",,Supply Chain Management,
EMBA, 806,"['Kalyanam,Kirthi']",,Marketing Management,
EMBA, 900A,"['Posner,Barry Z']",,Leadership in Dynamic Environments,"The program begins with a three-day residential weekend taught by Dr. Barry Posner, an internationally renowned leadership expert. In this intensive weekend seminar students receive 360-degree feedback about themselves as leaders, learn about and develop skills related to the practices of exemplary leaders, and determine action plans for improving themselves as leaders back in their workplaces. The weekend also helps orient students to setting personal goals, working effectively in small groups, and expanding their learning processes. (3 units)"
EMBA, 900B,"['Posner,Barry Z']",,Leadership Module II,Capstone Weekend. Culmination of the program; links back to the first leadership weekend and ties together the various themes.
EMBA, 901,"['Madsen,Tammy' 'Tsay,Andy A']",,Strategic Management,"Strategy is inherently dynamic. This course focuses on the processes by which managers position their businesses to create and sustain an advantage relative to rivals in the face of uncertainty, rapid change, and competition. Strategy involves understanding the utility of different choices and tradeoffs -- choosing what not to do is as important as choosing what to do. As a result, the course will expose you to frameworks and concepts for analyzing a firm's environment and competitive position to inform the strategic decision making process. By uncovering the factors that make some strategic positions strong and viable, we shall develop the ability to evaluate the effects of changes in resources & capabilities, industry forces, macro-environmental forces, and technology on industry structure and firm behavior and, in turn, on a firm's opportunities for creating, capturing and sustaining superior profits relative to rivals."
EMBA, 902,"['Madsen,Tammy' 'Velasquez,Manuel G' 'Zeitlin,Jo-Ellen Pozner']",,Navigating Busn Environ,
EMBA, 903,"['Chacko,George' 'Tsay,Andy A']",,Understanding Value,Focus on shareholder value.  Long term profit maximization as the unifying thread.  Investment decisions examined from various perspectives.
EMBA, 904,"['Kamas,Linda' 'Madsen,Tammy' 'nan']",,Defining and Exploiting White Spaces; Sustaining Innovation for Long-term Growth,"Business leaders of the twenty-first century must continually redefine industries, recreate differentiators, and rejigger operations to remain relevant. This course provides students with the tools for navigating dynamic competitive environments and innovation challenges. The emphasis will be on the skills needed to foster innovative thinking, to embed innovation in strategic planning, and to lead product, digital and corporate transformation. Experiential exercises such as case discussions, simulations, and role-playing help prepare students to lead an innovation revolution in their organization."
EMBA, 905,"['Agrawal,Narendra' 'Teruel,Frank' 'nan']",,Financial Accounting,"Accounting is the language of business. Every day businesses and markets generate data that must be quickly and accurately captured and reported for use by decision makers. This course introduces the roles, concepts, legal requirements and impacts of financial reporting. We cover the basic financial statements and the analysis and recording of transactions, with a focus towards interpretations of reported results. By the end of this course, students should be able to demonstrate a specific working knowledge of the following course objectives: The impact on accounting of a changing regulatory environment, globalization and politics, including the role of the SEC and international standard setters,"
EMBA, 906,"['Chacko,George' 'Kalyanam,Kirthi']",,Bringing Technology to Market,"Theme focuses on the challenges of successfully developing and introducing ""new-to-the-world"" or very complex products."
EMBA, 907,"['Griffith,Terri L' 'nan']",,Creativity for Innovative Business,"Creativity is one of the most important skills needed for tomorrow's workforce. It is necessary for effective problem solving, developing successful strategies, and driving innovation. Organizations must be creative and innovative to survive. This experiential course will explore creativity in the business context and the implications for individuals. We will focus on exercises and activities designed to enhance creativity of managers so that can they can use non-obvious techniques to break down business problems and craft new and innovative solutions. Students will learn about and apply creative thinking tools, explore and develop their own creative processes, and collaborate in team creative problem solving."
EMBA, 908,"['Bruno,Albert V' 'Kalyanam,Kirthi']",,Marketing Strategy,"Marketing has a rich and multifaceted role in the modern organization. It is charged with focusing on the customer, providing value and recapturing value for the firm. Strategic marketing management involves determining which customers an organization should serve by analyzing customer needs, segmenting the market selecting a target segment and then determining the 4p's (Product, Pricing, Promotion and Place) for the chosen segment. Product managers, channel leaders, sales leaders and CMOs are some of the stakeholders involved in this process. Today's marketers have an increasing amount of data available to them and the modern practice of marketing involves effectively using this data to inform decision making. This course provides information necessary for an experience executive to develop a working knowledge of marketing. Going beyond the fundamental 4P's of marketing the course also introduces the rigorous lens of the three C's---the customer, competitors and the company. The course also emphasizes data driven marketing and the idea the customers are heterogeneous in their needs."
EMBA, 909,"['Velasquez,Manuel G']",,Managerial Ethics,"This course is an introduction to business ethics that focuses specifically on the kinds of ethical issues that managers typically encounter. Course topics include the psychological factors that influence moral decision-making, normative approaches for dealing with ethical issues in management, and application of these concepts to cases describing real life ethical dilemmas managers have faced in a variety of organizational and environmental settings."
EMBA, 910,"['Agrawal,Narendra']",,"Managing Operations, Technologies, and Supply Chains","The objective of this course is to consider the operations of a supply chain from a managerial perspective. It focuses on improving the performance of the firm and its supply chain through coordination among multiple sites, functions, and economic factors (customers and suppliers). Students learn to design and implement both cross-functionally, within the firm, and across an industry value chain among interacting firms. These strategies include optimizing supply chain facilities, coordinating information and material flows, managing supplier relations, and managing customer order fulfillment processes."
FNCE,2400,"['Chacko,George' 'Ostrov,Daniel N']",(MSFNCEMJ OR MSENTREPMJ),Financial Forecasting & Analysis,"Introduces the basic concepts and tools of finance. Reviews balance sheet and income statement categories. Emphasizes the time value of money, present value calculations, the opportunity cost of capital, valuation of simple securities, and evaluating investment opportunities in a capital budgeting system."
FNCE,2401,"['Lou,Hong']",(FNCE 451 OR FNCE 3452 OR FNCE 2452 OR FNCE 854) AND (MSFNCEMJ OR MSENTREPMJ) AND NOT FNCE 3453,Corporate Finance,"Deals with the basic and advanced concepts of corporate finance, particularly the role of the financial manager and the goal of financial management.  For this purpose, the course focuses on agency conflicts and corporate governance, capital structure, payout policy, financial distress, options (real and executive), derivatives/hedging, and international issues."
FNCE,2402,"['Pu,Ning']",,Math for Finance & Analytics,"The objective of this course is to provide a comprehensive background in the
mathematical topics required for learning Quantitative Finance (QF) and Business Analytics and Data Science (BADS). The mathematical topics covered include Calculus, Linear Algebra, and Probability Theory. Applications of these topics in a variety of business contexts will be included."
FNCE,2404,"['Cai,Ye']",,Introduction to Time Series,"This course is designed to provide a comprehensive introduction to forecasting methods used in
Time Series Analysis. The class covers a range of topics in time series forecasting. The class will provide you with a language to describe time series data and ultimately cover modeling techniques such as ARIMA, SARIMA, and GARCH to produce forecasts."
FNCE,2405,"['Barve,Nitin']",(MSFNCEMJ OR MSENTREPMJ),Investments,"Explores investment securities and markets; reviews valuation tools; analysis of stocks, bonds, and derivatives. Introduces constructing portfolios and controlling investment risks. Focuses on learning how to value assets given forecasts of future cash flows. Concentrates on the risk characteristics of different asset classes. Covers four broad areas: (a) bonds and other fixed income securities, (b) risk/return relationships, portfolio diversification, and equity factor models, (c) performance evaluation and security analysis, and (d) currencies, international interest rates, and derivatives. Combines the theoretical underpinnings of finance with real-world examples. Before taking the course, students should understand time value of money (discounting), capital budgeting, and evaluation of two-stock portfolios."
FNCE,2408,[nan],,Analytics for Finance,"This course covers key issues in panel data analysis, with an emphasis on their applications in empirical research, especially empirical corporate finance. The course aims to introduce various econometric methods for analyzing panel data and develop core techniques to identify casual relations in the data. We will begin with the standard linear regressions, and extend to pooled, fixed effect, and random effect regression models, instrumental variables, differences-in-differences, selection models, and regression discontinuity. Students will be exposed to a broad range of applications in finance through reading academic papers and conducting their own empirical analysis."
FNCE,2423,"['Kim,Seoyoung R']",,Introduction to FinTech:,"FinTech has rapidly become a prevalent part of our vernacular, and an understanding of the evolution of traditional finance methods is an important part of a Finance majors arsenal. This course covers the evolution of traditional finance methods -- namely, the disruptions and innovations that have transformed: (i) how we access capital; (ii) how we allocate or invest capital; (iii) how we settle or transfer capital; and (iv) how we monitor and maintain the integrity of financial institutions and transactions."
FNCE,2452,"['Chacko,George']",,,
FNCE,2453,"['Kim,Hyun']",,,
FNCE,2455,"['Statman,Meir']",,,
FNCE,2460,"['Hutchins,Kevin Sean']",,"Mergers, Acquisitions and Corporate Reconstructing","Examines corporate governance and corporate restructurings. Emphasizes how corporate ownership, control, and organizational structures affect firm value. Other topics include valuing merger candidates, agency theory, and takeover regulation. Places a heavy emphasis on case projects and/or class presentations."
FNCE,2480,"['Cabral,Timothy' 'Chamberlain,Paul']",,Emerging Company Finance,"Covers financial topics most relevant to newly formed companies, with an emphasis on Silicon Valley-style startups that target large markets and raise outside capital. Includes topics on: (1) valuation, which is the courses primary theme, underlying all of the topics covered, (2) evaluating business opportunities, which focuses on the underlying economic principles that differentiate large opportunities from small opportunities, (3) funding business opportunities, which covers both identifying a companys needs and acquiring the capital to finance those needs, and (4) discussing how successful entrepreneurial ventures exit."
FNCE,2481,"['Cabral,Timothy' 'Chamberlain,Paul']",,Emerging Company Finance II,"This course focuses on the issues faced by start-up CFOs, and is directly relevant to entrepreneurs, founders and the early employees at start-ups who are evaluating, communicating, and implementing new business opportunities.  The class builds on its prerequisite, FNCE 2480."
FNCE,2482,"['Hulbert,Ted']",,Business Valuation,"Discusses implementing finance theory for valuation problems. Provides practical valuation tools for valuing a company and its securities. Covers valuation techniques including discounted cash-flow analysis, estimated cost of capital, market multiples, free-cash flow, and pro forma models.
Pre-reqs: FNCE 2400 OR FNCE 2452"
FNCE,2501,"['Pan,Carrie Haoqing']",MSBUSAMJ Academic Plan Only,Finance Principles,"Will introduce students to the cornerstone concepts underlying modern financial thinking and practice. Topics include financial analysis relating to corporate firms, securities in capital markets, asset managers and risk management."
FNCE,2502,"['Pu,Ning']",MSBUSAMJ Academic Plan Only,Math for Finance and Analytics,"To provide a comprehensive background in the mathematical topics required for learning Quantitative Finance (QF) and Business Analytics and Data Science (BADS). The mathematical topics covered include Calculus, Linear Algebra and Probability Theory. Applications of these topics in a variety of business contexts will be included."
FNCE,2523,"['Kim,Seoyoung R']",MSBUSAMJ Academic ONLY,Introduction to FinTech: Innovations and Disruptions to Traditional Finance,"FinTech has rapidly become a prevalent part of our vernacular, and an understanding of the evolution of traditional finance methods is an important part of a Finance majors arsenal. This course covers the evolution of traditional finance methods -- namely, the disruptions and innovations that have transformed: (i) how we access capital; (ii) how we allocate or invest capital; (iii) how we settle or transfer capital; and (iv) how we monitor and maintain the integrity of financial institutions and transactions."
FNCE,2524,"['Cai,Ye']",MSBUSAMJ Academic ONLY,Introduction to Time Series,"This course is designed to provide a comprehensive introduction to forecasting methods used in Time Series Analysis.  The class covers a range of topics in time series forecasting.  The class will provide you with a language to describe time series data and ultimately cover modeling techniques such as ARIMA, SARIMA, and GARCH to produce forecasts"
FNCE,2525,[nan],MSBUSAMJ Academic ONLY,Analytics for Finance,"This course covers key issues in panel data analysis, with an emphasis on their applications in empirical research, especially empirical corporate finance. The course aims to introduce various econometric methods for analyzing panel data and develop core techniques to identify casual relations in the data. We will begin with the standard linear regressions, and extend to pooled, fixed effect, and random effect regression models, instrumental variables, differences-in-differences, selection models, and regression discontinuity. Students will be exposed to a broad range of applications in finance through reading academic papers and conducting their own empirical analysis."
FNCE,2700,"['Pan,Carrie Haoqing']",,,
FNCE,3000,"['Kim,Hyun' 'Kim,Seoyoung R' 'Lou,Hong' 'Perelman,Gregory' 'Sarin,Atulya'
 'Shefrin,Harold M']",(ACTG 3000 OR ACTG 3100 OR ACTG 300) AND (MBAMBAMJ OR MBAJDMMJ) AND NOT (FNCE 451 OR FNCE 854 OR FNCE 2452 OR FNCE 3452),Financial Management,"This course provides an introduction to finance. It addresses the theory and practice of financial management, the generation and allocation of financial resources. The main objective is to provide a foundation in the basic concepts of finance, including the time value of money, cash and working capital management, the role of financial markets, portfolio theory, asset pricing, and the risk-return tradeoff, and to expand awareness of institutions and practices in business and finance."
FNCE,3052,"['Chacko,George']",(FNCE 3000 OR FNCE 3452 OR FNCE 2452 OR FNCE 451 OR FNCE 854) AND (MBAMBAMJ OR MBAJDMMJ OR MSFNCEMJ),Challenges In Finance:  Corporate Financial Transactions,"This course goes over the techniques utilized in large-scale corporate financial transactions. The course is taught entirely by the case method. The transactions covered in this course include spinoffs/divestitures, mergers, LBOs/MBOs,
equity carve-outs, and restructurings. The course discusses the strategic use and value-add of each type of transaction, the appropriate context for using them, alternative structuring approaches, tax and regulatory consequences, cross-border implications, and valuation principles."
FNCE,3436,"['Das,Sanjiv R' 'Trepanier,Daniel Pierre']",,,
FNCE,3453,"['Kim,Hyun' 'Lou,Hong']",(FNCE 3000 OR FNCE 3452 OR FNCE 2452 OR FNCE 451 OR FNCE 854) AND (MBAMBAMJ OR MBAJDMMJ OR MSFNCEMJ),Corporate Finance,"Deals with the basic and advanced concepts of corporate finance, particularly the role of the financial manager and the goal of financial management.  For this purpose, the course focuses on agency conflicts and corporate governance, capital structure, payout policy, financial distress, options (real and executive), derivatives/hedging, and international issues."
FNCE,3459,"['Perelman,Gregory']",(FNCE 3000 OR FNCE 3452 OR FNCE 2452 OR FNCE 451 OR FNCE 854) AND (MBAMBAMJ OR MBAJDMMJ OR MSFNCEMJ),Financial Markets and Institutions,"Studies financial service companies such as commercial banks, investment banks, and insurance companies from the perspective of a corporate issuer. Reviews valuation tools. Emphasizes the analysis of a corporations funding alternatives under regulatory constraints, interest rate risk management, and the relation between financial institutions and financial markets. Other topics may include evolution of financial intermediaries and current developments in financial regulation."
FNCE,3460,"['Hutchins,Kevin Sean']",(FNCE 3000 OR FNCE 3452 OR FNCE 2452 OR FNCE 451 OR FNCE 854) AND (MBAMBAMJ OR MBAJDMMJ OR MSFNCEMJ),"Mergers, Acquisitions, and Corporate Restructuring","Examines corporate governance and corporate restructurings. Emphasizes how corporate ownership, control, and organizational structures affect firm value. Other topics include valuing merger candidates, agency theory, and takeover regulation. Places a heavy emphasis on case projects and/or class presentations."
FNCE,3464,"['Ori,Joseph John']",(FNCE 3000 OR FNCE 3452 OR FNCE 2452 OR FNCE 451 OR FNCE 854) AND (MBAMBAMJ OR MBAJDMMJ OR MSFNCEMJ),Real Estate Finance,"Finance 3464 focuses on the risk, practices and problems particular to the financing and investing in real property. The course teaches the concepts and techniques necessary to analyze financial decisions embedded in property investment, development and finance. Students will analyze the real estate market, investments in residential and commercial real estate by individuals, partnerships and trusts. Emphasis is on the valuation and cash flow analysis of these projects and an understanding of financing alternatives using actual properties for sale and case analysis."
FNCE,3480,"['Cabral,Timothy' 'Chamberlain,Paul' 'Trepanier,Daniel Pierre']",(FNCE 3000 OR FNCE 3452 OR FNCE 2452 OR FNCE 451 OR FNCE 854) AND (MBAMBAMJ OR MBAJDMMJ OR MSFNCEMJ),Emerging Company Finance,"This course covers key topics that are directly relevant to entrepreneurs, defined broadly to include founders and early employees, who are evaluating, communicating, and implementing new business opportunities.  The class focuses on the start-up phase with an emphasis on Silicon Valley-style start-up companies.
The three main sections of the course are Businesses Models and Opportunities, Financial Models and their uses, and Venture Capital Investment Terms.  Businesses Opportunities covers the broad categories of business models that entrepreneurs pursue.  Financial Models covers the creation and uses of financial projections when evaluating, implementing, and financing new business ideas.  Investment Terms covers how investments in start-up companies are generally structured in Silicon Valley, and the implications that these structures have for entrepreneurs."
FNCE,3481,"['Cabral,Timothy' 'Chamberlain,Paul']",(FNCE 3000 OR FNCE 3452 OR FNCE 2452 OR FNCE 451 OR FNCE 854) AND (MBAMBAMJ OR MBAJDMMJ OR MSFNCEMJ),Emerging Company Finance II,"This course focuses on the issues faced by start-up CFOs, and is directly relevant to entrepreneurs, founders and the early employees at start-ups who are evaluating, communicating, and implementing new business opportunities.  The class builds on its prerequisite, FNCE3480.
The three main sections of the course are Managing Cash, Raising Cash, and Exits.  In the first part students lean to balance purpose and risk, and how to build a business plan including pro-forma financials.  Raising Cash covers advanced term sheets and non-equity financing sources.  Exits covers both selling a company and going public, linked to the terms under which a company took financing."
FNCE,3482,"['Hulbert,Ted' 'Sarin,Atulya']",(FNCE 3000 OR FNCE 3452 OR FNCE 2452 OR FNCE 451 OR FNCE 854) AND (MBAMBAMJ OR MBAJDMMJ OR MSFNCEMJ),Business Valuation,"Discusses implementing finance theory for valuation problems. Provides practical valuation tools for valuing a company and its securities. Covers valuation techniques including discounted cash-flow analysis, estimated cost of capital, market multiples, free-cash flow, and pro forma models."
FNCE,3484,"['Kim,Seoyoung R']",(FNCE 455 OR FNCE 2455 OR FNCE 3455)  AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ OR MSENTREPMJ OR MSFNCEMJ),Financial Engineering,"Examines the design, valuation, and risk management of derivative securities (futures, options, etc.), including structured products. Includes topics on arbitrage theory, futures, equity options, bond options, credit derivatives, swaps, and currency derivatives. Mathematical modeling of derivatives, including implementation and applications in investments, corporate finance, and risk management."
FNCE,3486,"['Shefrin,Harold M']",(FNCE 3000 OR FNCE 3452 OR FNCE 2452 OR FNCE 451 OR FNCE 854) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ OR MSFNCEMJ),Behavioral Corporate Finance,
FNCE,3489,"['Das,Sanjiv R' 'Ostrov,Daniel N']",,Mathematical Finance,"This course will comprise an immersion into the mathematics and models of modern finance, with an emphasis on conceptual and mathematical understanding, as well as building and implementing models.  It will be technology dependent since computers are essential to solving problems in this field."
FNCE,3490,"['Alvarez,Roberto Luis' 'Das,Sanjiv R' 'Wadhwa,Sudhir K.']",(ECON 3000 OR ECON 401 OR ECON 2401 OR ECON 3400) AND (MBAMBAMJ OR MBAWKENDMJ OR MBAJDMMJ OR MSFNCEMJ),Machine Learning,"So you want to be a Data Scientist? This course introduces participants to quantitative techniques and algorithms that are based on big data (numerical and textual) or are theoretical models of big systems or optimization that are currently being used widely in business. It introduces topics that are often qualitative but that are now amenable to quantitative treatment. The course will
prepare participants for more rigorous analysis of large data sets as well as introduce machine learning models and data analytics for business intelligence."
FNCE,3491,"['Barve,Nitin' 'Statman,Meir']",(FNCE 3000 OR FNCE 3452 OR FNCE 2452 OR FNCE 451 OR FNCE 854) AND (MBAMBAMJ OR MBAJDMMJ OR MSFNCEMJ),Investments,"Investment  knowledge  is  important  to  investment  professionals,  such  as  portfolio   managers  and  financial  advisers.  They  must  know  how  to  evaluate  and  select  stocks,   bonds,  options  and  other  securities,  and  how  to  guide  investors  to  fitting  portfolios  and   good  investment  behavior.        Investment  knowledge  is  also  important  to  all  of  us  as  individual  investors.  The  world  of   investment  is  changing  rapidly  as  investment  responsibilities  and  power  move  into  the   hands  of  individuals.  The  typical  retirement  plan  is  now  a  401(k)  type  defined   contribution  savings  plan  where  individuals  make  investments  decisions  and  live  by  their   outcomes.        This  course  is  centered  on  evidence-­based  knowledge  of  investments  and  investment   behavior.  It  presents  side  by  side  standard  and  behavioral  investment  theory,  evidence,   and  practice.  These  include  analysis  of  wants  and  cognitive  and  emotional  shortcuts  and   errors,  portfolios,  life-­cycles  of  saving  and  spending,  asset  pricing,  and  market  efficiency.   These  also  include  analysis  of  financial  markets,  such  as  stock  exchanges,  and  securities,   such  as  stocks,  bonds,  options,  and  futures."
FNCE,3698,"['Cai,Ye' 'Chacko,George' 'Das,Sanjiv R' 'Statman,Meir']",,Independent Study,
FNCE,3728,"['Hendershott,Robert J']",,Alternative Investments I:  Partnerships and Venture Capital,"This is the first in a series of two courses that cover alternative investments.  Alternative investments contrast to widely-held investments like stocks, bonds, and mutual funds.  This course covers how these investments are generally structured along with a closer study of a particular category, venture capital."
FNCE,3729,"['Barve,Nitin']",(FNCE 3000 OR FNCE 3452 OR FNCE 2452 OR FNCE 451 OR FNCE 854) AND (MBAMBAMJ OR MBAJDMMJ OR MSFNCEMJ),Applied Portfolio Management I,This course introduces the practical aspects of investment management. This is part one of a two-course sequence. The two proposed courses will provide students a framework to gain a detailed understanding of dynamics and factors affecting todays investment managers.
FNCE,3730,"['Barve,Nitin']",FNCE 3729 AND (MBAMBAMJ OR MBAJDMMJ OR MSFNCEMJ OR MSBUSAMJ,Applied Portfolio Management II,This course builds on the material covered in Applied Portfolio Management I and focuses on the practical aspects of portfolio performance evaluation and risk management.
FNCE,3731,"['Kim,Seoyoung R']",,Introduction to Fixed Income,"This two-unit course provides an introduction to fixed income. It covers the valuation and application of basic fixed-income securities and an introduction to select credit derivatives. The main objective is to provide a foundation in the basic concepts and mathematics of these securities and their applications, holistically as it pertains to a means to (i) immunize investment portfolios; (ii) raise capital, and (iii) hedge attendant risks."
FNCE,3806,"['Pan,Carrie Haoqing']",(ECON 3000 OR ECON 3400 OR ECON 401 OR ECON 2401 OR ECON 852) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Analytics for Finance: Panel Data Analysis,"This course covers key issues in panel data analysis, with an emphasis on their applications in empirical research, especially empirical corporate finance. The course aims to introduce various econometric methods for analyzing panel data and develop core techniques to identify casual relations in the data. We will begin with the standard linear regressions, and extend to pooled, fixed effect, and random effect regression models, instrumental variables, differences-in-differences, selection models, and regression discontinuity. Students will be exposed to a broad range of applications in finance through reading academic papers and conducting their own empirical analysis."
FNCE,3807,"['Kim,Seoyoung R' 'Mohan,Lil']",(FNCE 3000 OR FNCE 3452 OR FNCE 2452 OR FNCE 451 OR FNCE 854) AND (MBAMBAMJ OR MBAJDMMJ OR MSFNCEMJ),Intro to FinTech: Innovations and Disruptions to Traditional Finance,"FinTech has rapidly become a prevalent part of our vernacular, and an understanding of the evolution of traditional finance methods is an important part of a Finance majors arsenal. This course covers the evolution of traditional finance methods -- namely, the disruptions and innovations that have transformed: (i) how we access capital; (ii) how we allocate or invest capital; (iii) how we settle or transfer capital; and (iv) how we monitor and maintain the integrity of financial institutions and transactions. 
 
Pre-requisite(s): FNCE 2452/3452/3000 (Financial Management) or FNCE 2700 (Finance Bootcamp)"
IDIS,2701,"['McChesney Jr,Thomas Balmer']",,Critical Business Presentations,"This course is designed to equip the student with speaking and presenting facility in both formal and informal business settings. The class centers around multiple presentations on a variety of topics. Focus will be on learning to shape messages and presentations to different audiences and purposes. This one-unit course will afford an introduction to effective presentation skills that should then be implemented into later coursework and workplace interactions.  Business Communication theory, presentation practice and critique, interpersonal interaction in both traditional and social media forums, and conveying qualitative and quantitative information will"
